,Count,Salary
count,,102.0
mean,,73429.3529412
std,,27920.5330854
min,,20530.0
25%,,55708.0
50%,,70579.5
75%,,85524.25
max,,200000.0
NY,89.0,
NJ,12.0,
CT,1.0,
CT,,200000.0
NJ,,73153.5833333
NY,,72044.3932584
Crystal Window & Door Systems Ltd.,4.0,
Continental Auto Parts Llc,4.0,
Google Inc.,3.0,
Zillow Inc.,2.0,
Minkwon Center For Community Action,2.0,
Arms Global Inc,2.0,
Universal Communications Network Inc.,2.0,
Jamco Aerospace Inc,2.0,
Chang Hwa Commercial Bank,2.0,
The Execu|search Group,2.0,
Jat Capital Management Lp,,200000.0
Acr Capital Llc.,,157000.0
Wink Inc,,150000.0
Stevens Institute Of Technology,,137160.0
Sr Labs Llc,,130000.0
Barclays Capital Inc.,,122845.0
Michael Kors (usa) Inc.,,110000.0
Google Inc.,,109133.333333
Moody's Investors Service Inc.,,101500.0
Pricewaterhousecoopers,,98904.0
