Company,Count
Intel Corporation,172
Microsoft Corporation,111
Google Inc.,102
Super Micro Computer Inc.,60
Broadcom Corporation,52
Apple Inc.,52
Yahoo Inc.,42
Oracle America Inc.,40
Wafertech LLC.,39
Qualcomm Technologies Inc.,37
