,Count,Salary
count,,177.0
mean,,66660.0780226
std,,23272.5849853
min,,24960.0
25%,,48500.0
50%,,65374.4
75%,,79144.0
max,,160000.01
NY,160.0,
NJ,16.0,
CT,1.0,
CT,,80000.0
NJ,,72319.225
NY,,66010.7888125
Crystal Window & Door Systems Ltd.,9.0,
Morgan Stanley & Co. Inc.,3.0,
Red Apple Child Development Center,3.0,
Koch Group & Company LLP.,2.0,
Queens Lumber Co. Inc.,2.0,
Jimmy Crystal(new York) Co Ltd.,2.0,
Ubs Financial Services Inc.,2.0,
L3 Advertising Inc.,2.0,
Oec Freight (ny) Inc.,2.0,
Bilingual Seit Inc.,2.0,
Umg Recordings Inc.,,160000.01
The Norinchukin Bank New York Branch,,136165.0
Tiffany Food Corp.,,127608.0
Sky High International LLC.,,122220.8
Baha Industries Corp. Dba Open Systems Technologies,,121492.8
Montefiore Medical Center,,120000.0
Yu Shan Co. Usa Ltd,,118372.8
Spring Hill Capital Partners LLC.,,111966.0
Sentinel Real Estate Corporation,,110000.0
Cai Manager & Co. L.p.,,105913.6
