,Count,Salary
count,,98.0
mean,,61973.3070408
std,,23751.0300888
min,,25000.0
25%,,47049.75
50%,,57000.0
75%,,73570.0
max,,210000.0
NY,80.0,
NJ,17.0,
CT,1.0,
CT,,70699.0
NJ,,62844.8170588
NY,,61679.04
Zt Group Int'l Inc.,4.0,
Crystal Window & Door Systems Ltd.,3.0,
Bloomberg L.p.,2.0,
Dealogic,2.0,
Columbia University,2.0,
Court Square Capital Management Lp,2.0,
William Wang Medical Pc,2.0,
Virgo Usa Corp,1.0,
Unlimited Events & Marketinginc.,1.0,
Picked Fresh LLC.,1.0,
Reed Smith LLP.,,210000.0
William Wang Medical Pc,,102648.0
Foreign Tire Sales Inc.,,97697.6
Aol LLC.,,95650.0
Court Square Capital Management Lp,,95000.0
Alpine Woods L.p.,,90000.0
Bloomberg L.p.,,90000.0
Hydra Design Build Corporation,,90000.0
Peter D Wang Dds Pa,,89856.0
Algomod Technologies Corporation,,89773.0
