['2007', 59510.86, 55191.2]
['2008', 60344.8, 56305.6]
['2009', 62305.84, 59217.6]
['2010', 66546.71, 64000.0]
['2011', 72352.46, 68000.0]
['2012', 76928.25, 73000.0]
['2013', 80470.17, 80700.0]
['2014', 83844.27, 82080.0]
['2015', 86870.91, 87550.0]
['2016', 84264.54, 83485.0]
