,Count,Salary
count,,121.0
mean,,78551.672562
std,,32908.1364972
min,,27893.0
25%,,57262.4
50%,,70836.0
75%,,87923.0
max,,204984.0
NY,103.0,
NJ,12.0,
CT,6.0,
CT,,118980.333333
NJ,,77836.3166667
NY,,76279.9473786
World Journal LLC.,8.0,
Ubs Securities LLC.,2.0,
Crepe N Tearia Inc.,2.0,
Accuview Inc.,2.0,
Computer Square Inc.,2.0,
Kpmg LLP.,2.0,
The Packer Collegiate Institute,2.0,
R.a.m.s. Mechanical Inc.,1.0,
Rbc Capital Markets LLC.,1.0,
Riss Designllc,1.0,
T3 Trading Group,,204984.0
Umg Recordings Inc.,,160000.01
Montefiore Medical Center,,160000.0
Rbc Capital Markets LLC.,,150000.0
Credit Suisse Securities (usa) LLC.,,150000.0
Sumitomo Mitsui Banking Corporation,,148033.6
Ubs Securities LLC.,,131995.0
Barclays Capital Inc.,,131250.0
Teleos Management L.l.c.,,130000.0
Fe Clean Energy Group,,128000.0
