,Count,Salary
count,,209.0
mean,,94059.8545455
std,,24874.9942263
min,,37586.0
25%,,76918.4
50%,,94432.0
75%,,112716.0
max,,170000.0
CA,209.0,
CA,,94059.8545455
Marvell Semiconductor Inc.,10.0,
Nvidia Corporation,8.0,
Apple Inc.,6.0,
Omnivision Technologies Inc.,4.0,
Applied Materials Inc.,4.0,
Sandisk Corporation,4.0,
Qualcomm Atheros Inc.,4.0,
Google Inc.,4.0,
Tsmc North America,3.0,
Salesforce.com,3.0,
Wilson Sonsini Goodrich & Rosati,,170000.0
Lite-on Inc.,,141898.0
Toko America Inc.,,139838.0
Google Inc.,,132425.0
D'architech Inc.,,131955.0
Broadcom Corporation,,131019.6
Apple Inc.,,130860.0
Shutterfly Inc.,,128814.0
Infinera Corporation,,128773.0
Cvs Rx Services Inc.,,125777.6
