,Count,Salary
count,,49.0
mean,,76389.9922449
std,,28383.0892614
min,,32260.8
25%,,59700.0
50%,,69826.0
75%,,87714.0
max,,170000.0
NY,44.0,
NJ,5.0,
NJ,,78668.2
NY,,76131.105
Ubs Services LLC.,2.0,
Chinatrust Commercial Bank New York Branch,2.0,
American Asia Express Corp,1.0,
Philip Habib & Associate P.e. P.c.,1.0,
Marcum LLP.,1.0,
Mirror Books Usa Corp.,1.0,
Moody's Analytics,1.0,
Morgan Stanley & Co. LLC.,1.0,
Muji U.s.a. Limited,1.0,
Necessary Objects,1.0,
Kilpatrick Stockton LLP.,,170000.0
Chandelier Creative Inc.,,158000.0
Morgan Stanley & Co. LLC.,,140000.0
Ernst & Young U.s. LLP.,,129002.0
Moody's Analytics,,116251.0
Fantasy Interactive,,100000.0
Ubs Services LLC.,,98250.0
Investor Analytics LLC.,,90085.0
Muji U.s.a. Limited,,90022.0
Marcum LLP.,,90000.0
