,Count,Salary
count,,98.0
mean,,64111.4808163
std,,22168.8164542
min,,29099.0
25%,,47372.0
50%,,61097.0
75%,,75599.0
max,,140000.0
NY,84.0,
NJ,11.0,
CT,3.0,
CT,,69303.3333333
NY,,63990.0085714
NJ,,63623.1272727
Dealogic,4.0,
Crystal Window & Door Systems Ltd.,4.0,
American Cancer Society,4.0,
Auramet Trading LLC.,2.0,
Pricewaterhousecoopers,2.0,
Computer Square Inc.,2.0,
4u Services Inc D/b/a Stellar Services,2.0,
Ladas & Parry LLP.,2.0,
World Journal LLC.,2.0,
New Tang Dynasty Television,1.0,
Bear Stearns & Co. Inc.,,140000.0
Applied Dna Sciences Inc.,,131435.0
Polypaths LLC.,,120000.0
Cantor Fitzgerald Lp,,120000.0
Lehman Brothers Inc.,,112500.0
Google Inc.,,110000.0
Greenwich Capital Markets Inc.,,105000.0
Therapeutic Resources Physical Therapy,,104000.0
U.s. Tech Solutions Inc.,,98862.4
Gfi Capital Resources Group Inc.,,93184.0
